,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,aucune,any
25,place,square
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,corps,body
39,yeux,eyes
40,façon,way
41,écoute,listen
42,dont,whose
43,trouve,find
44,premier,first
45,main,hand
46,côté,side
47,pouvoir,power
48,vieux,old
49,sois,be
50,matin,morning
51,tellement,so much
52,enfant,child
53,point,point
54,suite,after
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,mis,placed
63,belle,beautiful
64,droit,law
65,aujourd'hui,today
66,mari,husband
67,cause,cause
68,enfin,finally
69,eau,water
70,attendez,Wait
71,parti,left
72,boulot,job
73,arrêter,Stop
74,terre,Earth
75,compte,account
76,donne,given
77,loin,far
78,croire,believe
79,chérie,sweetheart
80,gros,large
81,plutôt,rather
82,aura,will have
83,filles,girls
84,jouer,to play
85,bureau,office
